id,language,cluster
0,english,1
1,english,1
2,english,1
3,english,1
4,english,1
5,english,1
6,english,1
7,english,1
8,english,1
9,english,1
10,english,1
11,english,1
12,english,1
13,english,1
14,english,1
15,english,1
16,english,1
17,english,1
18,english,1
19,english,1
20,english,1
21,english,1
22,english,1
23,english,1
24,english,1
25,english,1
26,english,1
27,english,1
28,english,1
29,english,1
30,english,1
31,english,1
32,english,1
33,english,1
34,english,1
35,english,1
36,english,1
37,english,1
38,english,1
39,english,1
40,english,1
41,english,1
42,english,1
43,english,1
44,english,1
45,english,1
46,english,1
47,english,1
48,english,1
49,english,1
50,english,1
51,english,1
52,english,1
53,english,1
54,english,1
55,english,1
56,english,1
57,english,1
58,english,1
59,english,1
60,english,1
61,english,1
62,english,1
63,english,1
64,english,1
65,english,1
66,english,1
67,english,1
68,english,1
69,english,1
70,english,1
71,english,1
72,english,1
73,english,0
74,english,1
75,english,1
76,english,1
77,english,1
78,english,1
79,english,1
80,english,1
81,english,0
82,english,1
83,english,1
84,english,1
85,english,1
86,english,1
87,english,0
88,english,1
89,english,1
90,english,1
91,english,1
92,english,1
93,english,1
94,english,1
95,english,1
96,english,0
97,english,1
98,english,1
99,english,1
100,bangla,0
101,bangla,0
102,bangla,0
103,bangla,0
104,bangla,0
105,bangla,0
106,bangla,0
107,bangla,1
108,bangla,0
109,bangla,0
110,bangla,0
111,bangla,0
112,bangla,1
113,bangla,1
114,bangla,1
115,bangla,0
116,bangla,0
117,bangla,0
118,bangla,0
119,bangla,0
120,bangla,0
121,bangla,0
122,bangla,0
123,bangla,0
124,bangla,0
125,bangla,0
126,bangla,0
127,bangla,0
128,bangla,0
129,bangla,0
130,bangla,0
131,bangla,0
132,bangla,0
133,bangla,0
134,bangla,1
135,bangla,0
136,bangla,0
137,bangla,0
138,bangla,0
139,bangla,0
140,bangla,0
141,bangla,0
142,bangla,0
143,bangla,0
144,bangla,0
145,bangla,0
146,bangla,0
147,bangla,0
148,bangla,0
149,bangla,0
150,bangla,1
151,bangla,0
152,bangla,0
153,bangla,0
154,bangla,0
155,bangla,1
156,bangla,1
157,bangla,1
158,bangla,0
159,bangla,0
160,bangla,1
161,bangla,1
162,bangla,1
163,bangla,1
164,bangla,1
165,bangla,1
166,bangla,1
167,bangla,1
168,bangla,1
169,bangla,1
170,bangla,1
171,bangla,1
172,bangla,1
173,bangla,1
174,bangla,1
175,bangla,1
176,bangla,0
177,bangla,1
178,bangla,1
179,bangla,1
180,bangla,1
181,bangla,1
182,bangla,1
183,bangla,1
184,bangla,1
185,bangla,1
186,bangla,1
187,bangla,1
188,bangla,1
189,bangla,1
190,bangla,1
191,bangla,1
192,bangla,1
193,bangla,1
194,bangla,1
195,bangla,1
196,bangla,1
197,bangla,0
198,bangla,1
199,bangla,1
