index,id,language,cluster
0,0,english,0
1,1,english,0
2,2,english,0
3,3,english,0
4,4,english,0
5,5,english,0
6,6,english,0
7,7,english,0
8,8,english,0
9,9,english,0
10,10,english,0
11,11,english,0
12,12,english,0
13,13,english,0
14,14,english,0
15,15,english,0
16,16,english,0
17,17,english,0
18,18,english,0
19,19,english,0
20,20,english,0
21,21,english,0
22,22,english,0
23,23,english,0
24,24,english,0
25,25,english,0
26,26,english,0
27,27,english,0
28,28,english,0
29,29,english,0
30,30,english,0
31,31,english,0
32,32,english,0
33,33,english,0
34,34,english,0
35,35,english,0
36,36,english,0
37,37,english,0
38,38,english,0
39,39,english,0
40,40,english,0
41,41,english,0
42,42,english,0
43,43,english,0
44,44,english,0
45,45,english,0
46,46,english,0
47,47,english,0
48,48,english,0
49,49,english,0
50,50,english,0
51,51,english,0
52,52,english,0
53,53,english,0
54,54,english,0
55,55,english,0
56,56,english,0
57,57,english,0
58,58,english,0
59,59,english,0
60,60,english,0
61,61,english,1
62,62,english,0
63,63,english,0
64,64,english,1
65,65,english,0
66,66,english,0
67,67,english,0
68,68,english,0
69,69,english,0
70,70,english,0
71,71,english,0
72,72,english,1
73,73,english,1
74,74,english,0
75,75,english,0
76,76,english,0
77,77,english,0
78,78,english,0
79,79,english,0
80,80,english,0
81,81,english,1
82,82,english,0
83,83,english,0
84,84,english,0
85,85,english,0
86,86,english,0
87,87,english,1
88,88,english,0
89,89,english,0
90,90,english,1
91,91,english,0
92,92,english,0
93,93,english,0
94,94,english,0
95,95,english,0
96,96,english,1
97,97,english,0
98,98,english,0
99,99,english,0
100,100,bangla,1
101,101,bangla,1
102,102,bangla,1
103,103,bangla,1
104,104,bangla,1
105,105,bangla,1
106,106,bangla,1
107,107,bangla,0
108,108,bangla,1
109,109,bangla,1
110,110,bangla,1
111,111,bangla,1
112,112,bangla,0
113,113,bangla,0
114,114,bangla,0
115,115,bangla,1
116,116,bangla,0
117,117,bangla,1
118,118,bangla,1
119,119,bangla,1
120,120,bangla,1
121,121,bangla,1
122,122,bangla,1
123,123,bangla,1
124,124,bangla,0
125,125,bangla,1
126,126,bangla,0
127,127,bangla,1
128,128,bangla,1
129,129,bangla,1
130,130,bangla,1
131,131,bangla,1
132,132,bangla,1
133,133,bangla,1
134,134,bangla,0
135,135,bangla,1
136,136,bangla,1
137,137,bangla,1
138,138,bangla,1
139,139,bangla,1
140,140,bangla,1
141,141,bangla,1
142,142,bangla,1
143,143,bangla,1
144,144,bangla,1
145,145,bangla,1
146,146,bangla,1
147,147,bangla,1
148,148,bangla,1
149,149,bangla,0
150,150,bangla,1
151,151,bangla,1
152,152,bangla,1
153,153,bangla,1
154,154,bangla,1
155,155,bangla,0
156,156,bangla,0
157,157,bangla,0
158,158,bangla,1
159,159,bangla,0
160,160,bangla,0
161,161,bangla,0
162,162,bangla,0
163,163,bangla,0
164,164,bangla,0
165,165,bangla,0
166,166,bangla,0
167,167,bangla,0
168,168,bangla,0
169,169,bangla,0
170,170,bangla,0
171,171,bangla,0
172,172,bangla,0
173,173,bangla,0
174,174,bangla,0
175,175,bangla,0
176,176,bangla,1
177,177,bangla,0
178,178,bangla,0
179,179,bangla,0
180,180,bangla,0
181,181,bangla,0
182,182,bangla,0
183,183,bangla,0
184,184,bangla,0
185,185,bangla,0
186,186,bangla,0
187,187,bangla,0
188,188,bangla,0
189,189,bangla,0
190,190,bangla,0
191,191,bangla,1
192,192,bangla,0
193,193,bangla,0
194,194,bangla,0
195,195,bangla,0
196,196,bangla,0
197,197,bangla,0
198,198,bangla,0
199,199,bangla,0
