beta,method,k,silhouette,calinski_harabasz,davies_bouldin,ari,nmi,purity
1.0,kmeans,2,,,,0.0,0.0,0.005
1.0,agglomerative,2,0.0,1.0,0.0,0.0,0.0118124834018956,0.01
2.0,kmeans,2,,,,0.0,0.0,0.005
2.0,agglomerative,2,0.0,1.0,0.0,0.0,0.0118124834018956,0.01
4.0,kmeans,2,,,,0.0,0.0,0.005
4.0,agglomerative,2,0.0,1.0,0.0,0.0,0.0118124834018956,0.01
6.0,kmeans,2,,,,0.0,0.0,0.005
6.0,agglomerative,2,0.0,1.0,0.0,0.0,0.0118124834018956,0.01
1.0,kmeans,2,,,,0.0,0.0,0.5
1.0,agglomerative,2,0.0,1.0,0.0,0.0,0.0096002560948044,0.505
2.0,kmeans,2,,,,0.0,0.0,0.5
2.0,agglomerative,2,0.0,1.0,0.0,0.0,0.0096002560948044,0.505
4.0,kmeans,2,,,,0.0,0.0,0.5
4.0,agglomerative,2,0.0,1.0,0.0,0.0,0.0096002560948044,0.505
6.0,kmeans,2,,,,0.0,0.0,0.5
6.0,agglomerative,2,0.0,1.0,0.0,0.0,0.009600256094804405,0.505
