feature_set,model,latent_dim,cluster_algo,k,eps,silhouette,calinski_harabasz,davies_bouldin,ari
mel,cnn_vae,32,kmeans,2,,0.4642663300037384,193.14798024151628,0.9011860920027812,0.12577625957958832
mel,cnn_vae,32,agglo,2,,0.44377556443214417,172.4912563268514,0.9666267625847347,0.18118075015106305
mel,cnn_vae,32,kmeans,3,,0.34082621335983276,146.3530190213887,1.0546269009277622,0.18093743631340656
mel,cnn_vae,32,agglo,3,,0.3758911192417145,133.75994000830812,1.0632684724071433,0.13731330317327153
mel,cnn_vae,32,kmeans,4,,0.36065950989723206,139.92100312333164,0.9954940867424718,0.1353626788980613
mel,cnn_vae,32,agglo,4,,0.27355286478996277,124.55395646819505,1.1605440786877055,0.09616102020497033
mel,cnn_vae,32,kmeans,5,,0.26764366030693054,124.92670680780031,1.1409092691833922,0.10301199174380468
mel,cnn_vae,32,agglo,5,,0.26968181133270264,114.45963127964008,1.215832915365396,0.08666282214142756
mel,cnn_vae,32,dbscan,,0.5,0.10888177901506424,33.397849661540846,1.0534143411831483,0.35654027734335325
mel,cnn_vae,32,dbscan,,1.0,0.3623548448085785,23.230460219176823,1.6017356101955333,0.002294459684934457
mel,cnn_vae,32,dbscan,,1.5,0.4961380660533905,11.644332405024064,0.8001403116088089,0.00020104503207673486
mel,cnn_vae,32,dbscan,,2.0,0.6077122688293457,11.149829054924675,0.26955344739674575,0.0
